question,answer,category,priority,last_updated,seed_question,generation_model
세탁 방법이 궁금해요. 알려주세요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,gemini-seed-expander
적립금은 언제 지급되나요 알려주세요?,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요?,gemini-seed-expander
주문 취소는 어디서 하나요 알려주세요?,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요?,gemini-seed-expander
세탁 방법이 궁금해요. 확인 부탁드려요.,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,gemini-seed-expander
적립금 유효기간이 있나요 알려주세요?,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요?,gemini-seed-expander
출고 전 주소 변경 가능한가요 알려주세요?,출고 전 주문건에 한해 고객센터를 통해 변경 요청이 가능합니다.,order,medium,2026-02-19,출고 전 주소 변경 가능한가요?,gemini-seed-expander
세탁 방법이 궁금해요. 맞나요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,gemini-seed-expander
배송은 얼마나 걸리나요 알려주세요?,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,gemini-seed-expander
적립금은 언제 지급되나요 확인 부탁드려요.,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요?,gemini-seed-expander
주문 취소는 어디서 하나요 확인 부탁드려요.,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요?,gemini-seed-expander
반품은 며칠 내에 접수해야 하나요 알려주세요?,상품 수령 후 7일 이내에 반품 접수가 가능합니다.,policy,high,2026-02-19,반품은 며칠 내에 접수해야 하나요?,gemini-seed-expander
세탁 방법이 궁금해요. 기준이 궁금해요.,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,gemini-seed-expander
무료 배송 기준은 무엇인가요 알려주세요?,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,gemini-seed-expander
적립금 유효기간이 있나요 확인 부탁드려요.,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요?,gemini-seed-expander
출고 전 주소 변경 가능한가요 확인 부탁드려요.,출고 전 주문건에 한해 고객센터를 통해 변경 요청이 가능합니다.,order,medium,2026-02-19,출고 전 주소 변경 가능한가요?,gemini-seed-expander
교환 배송비는 얼마인가요 알려주세요?,"고객 변심 교환은 왕복 배송비 6,000원이 발생합니다.",policy,high,2026-02-19,교환 배송비는 얼마인가요?,gemini-seed-expander
세탁 방법이 궁금해요. 어떻게 되나요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,gemini-seed-expander
제주/도서산간 배송비가 추가되나요 알려주세요?,"제주/도서산간은 3,000원의 추가 배송비가 부과됩니다.",shipping,medium,2026-02-19,제주/도서산간 배송비가 추가되나요?,gemini-seed-expander
적립금은 언제 지급되나요 맞나요?,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요?,gemini-seed-expander
주문 취소는 어디서 하나요 맞나요?,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요?,gemini-seed-expander
불량 상품을 받았어요. 알려주세요?,불량/오배송은 배송비 전액 당사 부담으로 교환 또는 환불 가능합니다.,policy,high,2026-02-19,불량 상품을 받았어요.,gemini-seed-expander
세탁 방법이 궁금해요. 안내 받을 수 있을까요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,gemini-seed-expander
배송은 얼마나 걸리나요 확인 부탁드려요.,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,gemini-seed-expander
적립금 유효기간이 있나요 맞나요?,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요?,gemini-seed-expander
출고 전 주소 변경 가능한가요 맞나요?,출고 전 주문건에 한해 고객센터를 통해 변경 요청이 가능합니다.,order,medium,2026-02-19,출고 전 주소 변경 가능한가요?,gemini-seed-expander
사이즈 교환 가능한가요 알려주세요?,상품 수령 후 7일 이내 미착용 상태에서 사이즈 교환이 가능합니다.,policy,high,2026-02-19,사이즈 교환 가능한가요?,gemini-seed-expander
세탁 방법이 궁금해요. 기준을 다시 확인 부탁드려요.,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,synthetic-fallback
무료 배송 기준은 무엇인가요 확인 부탁드려요.,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,gemini-seed-expander
적립금은 언제 지급되나요 기준이 궁금해요.,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요?,gemini-seed-expander
주문 취소는 어디서 하나요 기준이 궁금해요.,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요?,gemini-seed-expander
반품은 며칠 내에 접수해야 하나요 확인 부탁드려요.,상품 수령 후 7일 이내에 반품 접수가 가능합니다.,policy,high,2026-02-19,반품은 며칠 내에 접수해야 하나요?,gemini-seed-expander
세탁 방법이 궁금해요. 관련해서 정확한 안내 부탁드립니다.,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,synthetic-fallback
제주/도서산간 배송비가 추가되나요 확인 부탁드려요.,"제주/도서산간은 3,000원의 추가 배송비가 부과됩니다.",shipping,medium,2026-02-19,제주/도서산간 배송비가 추가되나요?,gemini-seed-expander
적립금 유효기간이 있나요 기준이 궁금해요.,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요?,gemini-seed-expander
출고 전 주소 변경 가능한가요 기준이 궁금해요.,출고 전 주문건에 한해 고객센터를 통해 변경 요청이 가능합니다.,order,medium,2026-02-19,출고 전 주소 변경 가능한가요?,gemini-seed-expander
교환 배송비는 얼마인가요 확인 부탁드려요.,"고객 변심 교환은 왕복 배송비 6,000원이 발생합니다.",policy,high,2026-02-19,교환 배송비는 얼마인가요?,gemini-seed-expander
세탁 방법이 궁금해요. 고객센터 기준으로 어떻게 되나요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,synthetic-fallback
배송은 얼마나 걸리나요 맞나요?,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,gemini-seed-expander
