question,answer,category,priority,last_updated,seed_question,seed_question_hash,paraphrase_rank,is_paraphrase,generation_model
배송 기간은 어느 정도 소요되나요?,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,b98e19eeafa0968e87195b59dd769599c7950254,1,True,gemini-paraphraser
상품 배송은 며칠 안에 받을 수 있나요?,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,b98e19eeafa0968e87195b59dd769599c7950254,2,True,gemini-paraphraser
배송 완료까지 시간이 얼마나 걸릴까요?,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,b98e19eeafa0968e87195b59dd769599c7950254,3,True,gemini-paraphraser
주문한 상품은 언제쯤 배송되나요?,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,b98e19eeafa0968e87195b59dd769599c7950254,4,True,gemini-paraphraser
배송 예상 소요 시간을 알려주세요.,결제 완료 후 평균 2~3영업일 소요됩니다.,shipping,high,2026-02-19,배송은 얼마나 걸리나요?,b98e19eeafa0968e87195b59dd769599c7950254,5,True,gemini-paraphraser
무료 배송은 얼마 이상 구매해야 적용되나요?,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,4f9f65a7a65d346d852f47fde092db58861dc16d,1,True,gemini-paraphraser
배송비가 무료로 되는 조건이 궁금합니다.,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,4f9f65a7a65d346d852f47fde092db58861dc16d,2,True,gemini-paraphraser
어느 정도 금액을 사야 무료로 배송되나요?,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,4f9f65a7a65d346d852f47fde092db58861dc16d,3,True,gemini-paraphraser
무료 배송을 받으려면 최소 구매 금액이 얼마인가요?,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,4f9f65a7a65d346d852f47fde092db58861dc16d,4,True,gemini-paraphraser
배송비 무료 혜택을 받기 위한 기준이 있나요?,"실결제금액 50,000원 이상이면 무료 배송입니다.",shipping,high,2026-02-19,무료 배송 기준은 무엇인가요?,4f9f65a7a65d346d852f47fde092db58861dc16d,5,True,gemini-paraphraser
제주도나 도서 지역은 배송비가 더 붙나요?,"제주/도서산간은 3,000원의 추가 배송비가 부과됩니다.",shipping,medium,2026-02-19,제주/도서산간 배송비가 추가되나요?,dec48a47b28eed5bf727b8ce2eb36afdf3ca82da,1,True,gemini-paraphraser
제주 및 도서산간 지역으로 배송 시 추가 요금이 있나요?,"제주/도서산간은 3,000원의 추가 배송비가 부과됩니다.",shipping,medium,2026-02-19,제주/도서산간 배송비가 추가되나요?,dec48a47b28eed5bf727b8ce2eb36afdf3ca82da,2,True,gemini-paraphraser
섬이나 산간 지역으로 배송 받으려면 배송비가 추가되나요?,"제주/도서산간은 3,000원의 추가 배송비가 부과됩니다.",shipping,medium,2026-02-19,제주/도서산간 배송비가 추가되나요?,dec48a47b28eed5bf727b8ce2eb36afdf3ca82da,3,True,gemini-paraphraser
제주도나 섬 지역은 배송비가 더 비싼가요?,"제주/도서산간은 3,000원의 추가 배송비가 부과됩니다.",shipping,medium,2026-02-19,제주/도서산간 배송비가 추가되나요?,dec48a47b28eed5bf727b8ce2eb36afdf3ca82da,4,True,gemini-paraphraser
제주/도서산간 지역 배송 시 배송비가 더 부과되는지 궁금합니다.,"제주/도서산간은 3,000원의 추가 배송비가 부과됩니다.",shipping,medium,2026-02-19,제주/도서산간 배송비가 추가되나요?,dec48a47b28eed5bf727b8ce2eb36afdf3ca82da,5,True,gemini-paraphraser
반품 신청은 언제까지 가능한가요?,상품 수령 후 7일 이내에 반품 접수가 가능합니다.,policy,high,2026-02-19,반품은 며칠 내에 접수해야 하나요?,6d2bf23ac7dbcb6eca2eab9cc097182b0a0265f6,1,True,gemini-paraphraser
제품 반환은 언제까지 신청해야 하나요?,상품 수령 후 7일 이내에 반품 접수가 가능합니다.,policy,high,2026-02-19,반품은 며칠 내에 접수해야 하나요?,6d2bf23ac7dbcb6eca2eab9cc097182b0a0265f6,2,True,gemini-paraphraser
반품 접수 기한이 궁금합니다.,상품 수령 후 7일 이내에 반품 접수가 가능합니다.,policy,high,2026-02-19,반품은 며칠 내에 접수해야 하나요?,6d2bf23ac7dbcb6eca2eab9cc097182b0a0265f6,3,True,gemini-paraphraser
물건을 반품하려면 며칠 안에 신청해야 하나요?,상품 수령 후 7일 이내에 반품 접수가 가능합니다.,policy,high,2026-02-19,반품은 며칠 내에 접수해야 하나요?,6d2bf23ac7dbcb6eca2eab9cc097182b0a0265f6,4,True,gemini-paraphraser
반품 신청은 구매 후 며칠 이내에 해야 하나요?,상품 수령 후 7일 이내에 반품 접수가 가능합니다.,policy,high,2026-02-19,반품은 며칠 내에 접수해야 하나요?,6d2bf23ac7dbcb6eca2eab9cc097182b0a0265f6,5,True,gemini-paraphraser
교환할 때 배송비는 얼마를 내야 하나요?,"고객 변심 교환은 왕복 배송비 6,000원이 발생합니다.",policy,high,2026-02-19,교환 배송비는 얼마인가요?,ec63bd3f24afb7af163dd3fee39cb7ee0fa45fc2,1,True,gemini-paraphraser
교환 시 배송비가 궁금합니다.,"고객 변심 교환은 왕복 배송비 6,000원이 발생합니다.",policy,high,2026-02-19,교환 배송비는 얼마인가요?,ec63bd3f24afb7af163dd3fee39cb7ee0fa45fc2,2,True,gemini-paraphraser
교환 배송료는 얼마인가요?,"고객 변심 교환은 왕복 배송비 6,000원이 발생합니다.",policy,high,2026-02-19,교환 배송비는 얼마인가요?,ec63bd3f24afb7af163dd3fee39cb7ee0fa45fc2,3,True,gemini-paraphraser
교환할 때 배송 비용이 얼마나 드나요?,"고객 변심 교환은 왕복 배송비 6,000원이 발생합니다.",policy,high,2026-02-19,교환 배송비는 얼마인가요?,ec63bd3f24afb7af163dd3fee39cb7ee0fa45fc2,4,True,gemini-paraphraser
교환에 필요한 배송비는 얼마인가요?,"고객 변심 교환은 왕복 배송비 6,000원이 발생합니다.",policy,high,2026-02-19,교환 배송비는 얼마인가요?,ec63bd3f24afb7af163dd3fee39cb7ee0fa45fc2,5,True,gemini-paraphraser
제품에 하자가 있어요.,불량/오배송은 배송비 전액 당사 부담으로 교환 또는 환불 가능합니다.,policy,high,2026-02-19,불량 상품을 받았어요.,388bbad7c1054fe2ed3cf240561e32e87c095d97,1,True,gemini-paraphraser
주문한 상품이 불량이에요.,불량/오배송은 배송비 전액 당사 부담으로 교환 또는 환불 가능합니다.,policy,high,2026-02-19,불량 상품을 받았어요.,388bbad7c1054fe2ed3cf240561e32e87c095d97,2,True,gemini-paraphraser
물건 상태가 좋지 않아요.,불량/오배송은 배송비 전액 당사 부담으로 교환 또는 환불 가능합니다.,policy,high,2026-02-19,불량 상품을 받았어요.,388bbad7c1054fe2ed3cf240561e32e87c095d97,3,True,gemini-paraphraser
정상적인 제품이 아닌 것 같아요.,불량/오배송은 배송비 전액 당사 부담으로 교환 또는 환불 가능합니다.,policy,high,2026-02-19,불량 상품을 받았어요.,388bbad7c1054fe2ed3cf240561e32e87c095d97,4,True,gemini-paraphraser
받은 상품에 문제가 있습니다.,불량/오배송은 배송비 전액 당사 부담으로 교환 또는 환불 가능합니다.,policy,high,2026-02-19,불량 상품을 받았어요.,388bbad7c1054fe2ed3cf240561e32e87c095d97,5,True,gemini-paraphraser
포인트는 언제 적립되나요?,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요?,8c863e40614abb3d7a2d1b1049681b5118feaafd,1,True,gemini-paraphraser
마일리지는 언제쯤 받을 수 있나요?,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요?,8c863e40614abb3d7a2d1b1049681b5118feaafd,2,True,gemini-paraphraser
적립금 지급 시점이 궁금합니다.,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요?,8c863e40614abb3d7a2d1b1049681b5118feaafd,3,True,gemini-paraphraser
제가 받게 될 적립금은 언제 지급 예정인가요?,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요?,8c863e40614abb3d7a2d1b1049681b5118feaafd,4,True,gemini-paraphraser
적립금은 대략 언제쯤 지급되는지 알고 싶습니다.,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요?,8c863e40614abb3d7a2d1b1049681b5118feaafd,5,True,gemini-paraphraser
적립금은 언제까지 사용할 수 있나요?,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요?,87b843245fe1495c577d8c11a545ec223085592a,1,True,gemini-paraphraser
적립금 사용에 기한이 정해져 있나요?,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요?,87b843245fe1495c577d8c11a545ec223085592a,2,True,gemini-paraphraser
적립금 소멸 시효가 있나요?,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요?,87b843245fe1495c577d8c11a545ec223085592a,3,True,gemini-paraphraser
적립금을 사용할 수 있는 기간이 궁금합니다.,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요?,87b843245fe1495c577d8c11a545ec223085592a,4,True,gemini-paraphraser
적립금은 기간 제한 없이 계속 사용할 수 있나요?,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요?,87b843245fe1495c577d8c11a545ec223085592a,5,True,gemini-paraphraser
주문했던 것을 취소하려면 어떻게 해야 하나요?,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요?,b7e06b29e954da00a32f150d3c6a7bbb0079fbb6,1,True,gemini-paraphraser
주문 취소 절차를 알고 싶습니다.,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요?,b7e06b29e954da00a32f150d3c6a7bbb0079fbb6,2,True,gemini-paraphraser
주문한 상품을 취소하는 방법을 알려주세요.,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요?,b7e06b29e954da00a32f150d3c6a7bbb0079fbb6,3,True,gemini-paraphraser
주문 취소는 어떤 방식으로 진행되나요?,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요?,b7e06b29e954da00a32f150d3c6a7bbb0079fbb6,4,True,gemini-paraphraser
주문 취소는 어디에서 신청할 수 있나요?,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요?,b7e06b29e954da00a32f150d3c6a7bbb0079fbb6,5,True,gemini-paraphraser
세탁은 어떻게 해야 하나요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,727ddbb073b543eafcf58c4d9fef4b58e2d02669,1,True,gemini-paraphraser
어떤 방식으로 세탁하는 것이 좋은가요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,727ddbb073b543eafcf58c4d9fef4b58e2d02669,2,True,gemini-paraphraser
세탁 시 주의해야 할 점이 있나요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,727ddbb073b543eafcf58c4d9fef4b58e2d02669,3,True,gemini-paraphraser
세탁 시 권장하는 방법이 있나요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,727ddbb073b543eafcf58c4d9fef4b58e2d02669,4,True,gemini-paraphraser
세탁 시 특별히 신경 써야 할 부분이 있을까요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요.,727ddbb073b543eafcf58c4d9fef4b58e2d02669,5,True,gemini-paraphraser
사이즈를 다른 것으로 바꿀 수 있을까요?,상품 수령 후 7일 이내 미착용 상태에서 사이즈 교환이 가능합니다.,policy,high,2026-02-19,사이즈 교환 가능한가요?,66165fc727de88843fa70394d7e98f9bf26fedae,1,True,gemini-paraphraser
사이즈 교체 서비스가 제공되나요?,상품 수령 후 7일 이내 미착용 상태에서 사이즈 교환이 가능합니다.,policy,high,2026-02-19,사이즈 교환 가능한가요?,66165fc727de88843fa70394d7e98f9bf26fedae,2,True,gemini-paraphraser
다른 사이즈로 변경하고 싶습니다.,상품 수령 후 7일 이내 미착용 상태에서 사이즈 교환이 가능합니다.,policy,high,2026-02-19,사이즈 교환 가능한가요?,66165fc727de88843fa70394d7e98f9bf26fedae,3,True,gemini-paraphraser
사이즈를 바꿔서 받고 싶은데 가능한가요?,상품 수령 후 7일 이내 미착용 상태에서 사이즈 교환이 가능합니다.,policy,high,2026-02-19,사이즈 교환 가능한가요?,66165fc727de88843fa70394d7e98f9bf26fedae,4,True,gemini-paraphraser
사이즈가 안 맞아서 교환하고 싶습니다.,상품 수령 후 7일 이내 미착용 상태에서 사이즈 교환이 가능합니다.,policy,high,2026-02-19,사이즈 교환 가능한가요?,66165fc727de88843fa70394d7e98f9bf26fedae,5,True,gemini-paraphraser
배송되기 전에 배송지를 바꾸는 것이 가능한가요?,출고 전 주문건에 한해 고객센터를 통해 변경 요청이 가능합니다.,order,medium,2026-02-19,출고 전 주소 변경 가능한가요?,6254714190096b50d566b30afe807e330b148418,1,True,gemini-paraphraser
"아직 발송 전인데, 수령 주소를 변경할 수 있을까요?",출고 전 주문건에 한해 고객센터를 통해 변경 요청이 가능합니다.,order,medium,2026-02-19,출고 전 주소 변경 가능한가요?,6254714190096b50d566b30afe807e330b148418,2,True,gemini-paraphraser
주문한 상품이 출발하기 전에 주소 수정이 가능한지 궁금합니다.,출고 전 주문건에 한해 고객센터를 통해 변경 요청이 가능합니다.,order,medium,2026-02-19,출고 전 주소 변경 가능한가요?,6254714190096b50d566b30afe807e330b148418,3,True,gemini-paraphraser
배송 시작 전에 배송 주소를 바꾸고 싶습니다. 가능한가요?,출고 전 주문건에 한해 고객센터를 통해 변경 요청이 가능합니다.,order,medium,2026-02-19,출고 전 주소 변경 가능한가요?,6254714190096b50d566b30afe807e330b148418,4,True,gemini-paraphraser
"아직 상품이 안 떠났는데, 배송받을 곳을 변경할 수 있을까요?",출고 전 주문건에 한해 고객센터를 통해 변경 요청이 가능합니다.,order,medium,2026-02-19,출고 전 주소 변경 가능한가요?,6254714190096b50d566b30afe807e330b148418,5,True,gemini-paraphraser
세탁은 어떻게 해야 하나요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요. 알려주세요?,085da724e4e8944b4264115ade12c8f266782493,1,True,gemini-paraphraser
빨래하는 방법을 알고 싶습니다.,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요. 알려주세요?,085da724e4e8944b4264115ade12c8f266782493,2,True,gemini-paraphraser
세탁 시 주의사항이 있나요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요. 알려주세요?,085da724e4e8944b4264115ade12c8f266782493,3,True,gemini-paraphraser
이 옷은 어떻게 세탁해야 하나요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요. 알려주세요?,085da724e4e8944b4264115ade12c8f266782493,4,True,gemini-paraphraser
세탁 관련 정보를 알려주실 수 있나요?,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요. 알려주세요?,085da724e4e8944b4264115ade12c8f266782493,5,True,gemini-paraphraser
적립금 지급 시점이 궁금합니다.,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요 알려주세요?,a20a69b9979854d1056bdf72668292f527fe3101,1,True,gemini-paraphraser
적립금은 언제쯤 받을 수 있나요?,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요 알려주세요?,a20a69b9979854d1056bdf72668292f527fe3101,2,True,gemini-paraphraser
적립금 지급 일정을 알려주실 수 있나요?,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요 알려주세요?,a20a69b9979854d1056bdf72668292f527fe3101,3,True,gemini-paraphraser
제가 받게 될 적립금은 언제 지급되나요?,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요 알려주세요?,a20a69b9979854d1056bdf72668292f527fe3101,4,True,gemini-paraphraser
적립금은 대략 언제 지급되는지 알고 싶습니다.,구매 확정 후 3일 이내 적립금이 지급됩니다.,membership,medium,2026-02-19,적립금은 언제 지급되나요 알려주세요?,a20a69b9979854d1056bdf72668292f527fe3101,5,True,gemini-paraphraser
"주문했던 것을 취소하고 싶은데, 어떻게 해야 하나요?",배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요 알려주세요?,72ed7967d40cbe48328a34cc13fc57ed0b1e0b8c,1,True,gemini-paraphraser
주문 취소 절차에 대해 자세히 알려주실 수 있나요?,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요 알려주세요?,72ed7967d40cbe48328a34cc13fc57ed0b1e0b8c,2,True,gemini-paraphraser
주문한 상품을 취소하려면 어디로 가야 하나요?,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요 알려주세요?,72ed7967d40cbe48328a34cc13fc57ed0b1e0b8c,3,True,gemini-paraphraser
주문 취소하는 방법을 알고 싶습니다.,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요 알려주세요?,72ed7967d40cbe48328a34cc13fc57ed0b1e0b8c,4,True,gemini-paraphraser
주문 취소는 어떻게 진행되는지 안내 부탁드립니다.,배송 준비 전 상태에서 마이페이지 주문내역에서 취소 가능합니다.,order,high,2026-02-19,주문 취소는 어디서 하나요 알려주세요?,72ed7967d40cbe48328a34cc13fc57ed0b1e0b8c,5,True,gemini-paraphraser
세탁은 어떻게 해야 하나요? 자세한 방법을 알고 싶습니다.,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요. 확인 부탁드려요.,1336aa58e21c2a6fc31a69b2423f8e8360510f51,1,True,gemini-paraphraser
"이 제품, 세탁 시 주의해야 할 점이 있나요?",상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요. 확인 부탁드려요.,1336aa58e21c2a6fc31a69b2423f8e8360510f51,2,True,gemini-paraphraser
세탁 시 권장하는 방법이 있다면 알려주세요.,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요. 확인 부탁드려요.,1336aa58e21c2a6fc31a69b2423f8e8360510f51,3,True,gemini-paraphraser
세탁 관련 정보를 확인하고 싶습니다.,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요. 확인 부탁드려요.,1336aa58e21c2a6fc31a69b2423f8e8360510f51,4,True,gemini-paraphraser
세탁할 때 특별히 신경 써야 하는 부분이 있는지 궁금합니다.,상품 상세의 세탁 가이드를 확인해 주세요. 일반적으로 찬물 단독 손세탁을 권장합니다.,product,medium,2026-02-19,세탁 방법이 궁금해요. 확인 부탁드려요.,1336aa58e21c2a6fc31a69b2423f8e8360510f51,5,True,gemini-paraphraser
적립금은 언제까지 사용할 수 있나요?,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요 알려주세요?,940ae0e8a5565c1be3a011f7a9a1d8bf6b958cb5,1,True,gemini-paraphraser
적립금 사용 기한이 정해져 있나요?,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요 알려주세요?,940ae0e8a5565c1be3a011f7a9a1d8bf6b958cb5,2,True,gemini-paraphraser
보유 적립금의 만료일이 궁금합니다.,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요 알려주세요?,940ae0e8a5565c1be3a011f7a9a1d8bf6b958cb5,3,True,gemini-paraphraser
적립금은 기간 제한 없이 계속 사용 가능한가요?,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요 알려주세요?,940ae0e8a5565c1be3a011f7a9a1d8bf6b958cb5,4,True,gemini-paraphraser
적립금 소멸 시효가 있는지 알고 싶습니다.,적립금은 지급일 기준 12개월 동안 사용할 수 있습니다.,membership,low,2026-02-19,적립금 유효기간이 있나요 알려주세요?,940ae0e8a5565c1be3a011f7a9a1d8bf6b958cb5,5,True,gemini-paraphraser
배송되기 전에 배송 주소를 바꿀 수 있는지 궁금합니다.,출고 전 주문건에 한해 고객센터를 통해 변경 요청이 가능합니다.,order,medium,2026-02-19,출고 전 주소 변경 가능한가요 알려주세요?,354231d8a467a932f1e77e2864ac1cf086c504db,1,True,gemini-paraphraser
